t_sec,alpha_x,alpha_y,alpha_z,omega_z_abs,residual_rms,a_c_x,a_c_y,a_c_z,s1_raw_x,s1_raw_y,s1_raw_z,s1_cal_x,s1_cal_y,s1_cal_z,s1_disk_x,s1_disk_y,s1_disk_z,s2_raw_x,s2_raw_y,s2_raw_z,s2_cal_x,s2_cal_y,s2_cal_z,s2_disk_x,s2_disk_y,s2_disk_z,s3_raw_x,s3_raw_y,s3_raw_z,s3_cal_x,s3_cal_y,s3_cal_z,s3_disk_x,s3_disk_y,s3_disk_z,s4_raw_x,s4_raw_y,s4_raw_z,s4_cal_x,s4_cal_y,s4_cal_z,s4_disk_x,s4_disk_y,s4_disk_z
0.0000,-1.159195,-1.273257,-3.582022,1.351799,0.057697,-0.42156,-0.954715,9.760706,-0.0156,-0.1326,0.9672,0.00296,-0.12598,0.97526,0.02905,-1.23545,9.56402,0.078,-0.0351,0.9477,0.03845,-0.06836,1.02576,-0.55402,-1.42596,9.97199,0.039,-0.0819,0.9867,0.067,-0.09598,1.00505,-0.92192,-0.61452,9.86077,0.0,-0.0078,0.9906,0.03468,-0.03185,0.98436,-0.23934,-0.54293,9.64604
0.0228,0.854509,-3.118852,-0.169576,1.459921,0.03979,-0.494849,-1.005842,9.730447,-0.0702,-0.1326,0.9906,-0.0494,-0.12598,0.99931,-0.48443,-1.23545,9.79993,0.0351,-0.0546,0.9633,-0.00328,-0.0871,1.04148,-0.74062,-1.03714,10.16956,0.0039,-0.0663,0.9594,0.03297,-0.08103,0.97753,-0.57721,-0.70768,9.58117,-0.0546,-0.0117,0.9672,-0.01879,-0.03565,0.96082,-0.17714,-1.0431,9.37113
0.0451,0.136961,-2.14849,9.320292,1.430678,0.079035,-0.35318,-1.053929,9.737584,-0.1833,-0.1326,0.9789,-0.15786,-0.12598,0.98729,-1.54805,-1.23545,9.68197,-0.0741,-0.0507,0.9438,-0.10951,-0.08335,1.02183,-0.71757,0.01935,10.08573,-0.1599,-0.0546,0.9633,-0.12582,-0.06983,0.98146,0.98145,-0.77648,9.64691,-0.1755,-0.0156,0.9945,-0.13718,-0.03946,0.98828,-0.12856,-2.22314,9.53572
0.0670,-0.455025,-0.407225,3.15443,1.239053,0.075032,-0.095461,-0.892811,9.765764,-0.0624,-0.1131,0.9789,-0.04192,-0.10675,0.98729,-0.41107,-1.0469,9.68197,-0.0273,-0.0039,0.9243,-0.06398,-0.03837,1.00219,-0.2737,-0.39934,9.84344,-0.0741,-0.0702,0.9789,-0.04265,-0.08477,0.99719,0.1579,-0.67957,9.79846,-0.0936,-0.0468,1.0062,-0.05698,-0.0699,1.00005,0.14503,-1.44544,9.73919
0.0890,-1.20541,4.290769,-4.84835,1.149419,0.103496,0.00967,-0.862311,9.777126,0.0429,-0.0897,0.9711,0.05906,-0.08368,0.97927,0.5792,-0.82063,9.60334,0.1092,0.0078,0.8775,0.0688,-0.02712,0.95505,-0.15414,-1.64516,9.2474,0.0117,-0.0858,0.9906,0.04053,-0.09971,1.00899,-0.66474,-0.5767,9.91192,0.0195,-0.0663,1.0569,0.05377,-0.08893,1.05105,0.27836,-0.40675,10.34584
0.1109,-1.557915,0.893802,-6.383684,1.301956,0.177518,0.077007,-0.710598,9.791145,0.117,-0.0858,0.9633,0.13012,-0.07984,0.97125,1.27606,-0.78292,9.5247,0.0741,-0.0117,0.9243,0.03466,-0.04587,1.00219,-0.33648,-1.3623,9.74377,0.0312,-0.0975,0.9906,0.05943,-0.11092,1.00899,-0.85364,-0.47361,9.92353,0.0351,-0.0585,1.0179,0.06905,-0.08132,1.01182,0.22209,-0.22355,9.97258
0.1329,-0.871448,-0.980486,-1.611609,1.46668,0.016895,-0.346956,-0.922672,9.77784,-0.0312,-0.1287,0.975,-0.012,-0.12214,0.98328,-0.11766,-1.19774,9.64265,0.0468,-0.0429,0.9399,0.0081,-0.07585,1.01791,-0.63169,-1.12284,9.92698,0.0,-0.078,0.9867,0.02919,-0.09224,1.00505,-0.55024,-0.63982,9.86575,-0.0195,-0.0234,0.9945,0.01558,-0.04707,0.98828,-0.08823,-0.73028,9.67598
0.1548,1.584884,-3.517152,7.007394,1.44841,0.015062,-0.526726,-1.067526,9.801096,-0.1716,-0.1404,1.0101,-0.14664,-0.13367,1.01936,-1.43802,-1.31087,9.99652,-0.0546,-0.0585,0.9633,-0.09054,-0.09085,1.04148,-0.78687,-0.18653,10.25873,-0.0936,-0.0546,0.9594,-0.06155,-0.06983,0.97753,0.3526,-0.78901,9.59079,-0.1521,-0.0039,0.975,-0.11427,-0.02804,0.96866,-0.23461,-1.9837,9.35834
0.1767,0.393944,-2.372836,6.202374,1.154605,0.071205,-0.335558,-1.115929,9.782286,-0.1287,-0.1287,0.9906,-0.1055,-0.12214,0.99931,-1.03458,-1.19774,9.79993,-0.0312,-0.039,0.9516,-0.06778,-0.07211,1.02969,-0.6019,-0.39432,10.11879,-0.1131,-0.0468,0.9711,-0.08045,-0.06236,0.98933,0.53753,-0.87382,9.69908,-0.1521,-0.0039,0.9906,-0.11427,-0.02804,0.98436,-0.24327,-1.99784,9.51135
0.1988,0.224707,-0.167151,1.286816,1.009247,0.043161,-0.058695,-0.918125,9.777296,-0.0351,-0.1053,0.9906,-0.01574,-0.09906,0.99931,-0.15434,-0.97148,9.79993,0.0117,-0.0039,0.9243,-0.02605,-0.03837,1.00219,-0.26957,-0.76937,9.80482,-0.0702,-0.0585,0.975,-0.03887,-0.07356,0.99326,0.12544,-0.78322,9.7424,-0.0624,-0.039,1.0062,-0.02643,-0.06229,1.00005,0.06369,-1.14844,9.76203
0.2208,-1.982886,3.456788,-7.651098,1.125906,0.065649,0.062561,-0.736552,9.766396,0.1014,-0.0858,0.9594,0.11516,-0.07984,0.96724,1.12935,-0.78292,9.48538,0.1209,0.0039,0.8892,0.08019,-0.03087,0.96683,-0.18837,-1.7686,9.35113,0.0351,-0.0936,0.9984,0.06321,-0.10718,1.01685,-0.89129,-0.5228,9.993,0.0741,-0.0585,1.0413,0.10724,-0.08132,1.03536,0.20056,0.12812,10.23607
0.2427,-1.835623,1.880212,-4.242669,1.238871,0.052121,-0.015735,-0.776852,9.816642,0.0468,-0.0975,0.9672,0.0628,-0.09137,0.97526,0.61587,-0.89605,9.56402,0.0702,-0.0039,0.9087,0.03086,-0.03837,0.98648,-0.2651,-1.30843,9.59364,0.0039,-0.0897,1.0023,0.03297,-0.10345,1.02078,-0.59462,-0.55624,10.03394,0.0234,-0.0546,1.0296,0.05759,-0.07751,1.02359,0.18091,-0.34668,10.07497
0.2647,-0.888911,-0.760035,0.666196,1.357094,0.109398,-0.094984,-1.019821,9.781403,-0.0156,-0.1209,0.9789,0.00296,-0.11444,0.98729,0.02905,-1.12232,9.68197,0.0312,-0.0273,0.9321,-0.00708,-0.06086,1.01005,-0.48718,-0.96505,9.86434,-0.0624,-0.0702,0.9906,-0.0313,-0.08477,1.00899,0.04401,-0.70073,9.90953,-0.078,-0.0351,0.9984,-0.0417,-0.05849,0.9922,0.03418,-1.29118,9.66977
0.2866,0.952448,-3.10815,8.995819,1.296492,0.043953,-0.388047,-1.10383,9.799037,-0.1755,-0.1365,1.0023,-0.15038,-0.12983,1.01134,-1.4747,-1.27316,9.91788,-0.0741,-0.0429,0.9555,-0.10951,-0.07585,1.03362,-0.64277,0.00826,10.19995,-0.1404,-0.0507,0.9672,-0.10692,-0.06609,0.98539,0.79653,-0.82406,9.67406,-0.1872,-0.0039,0.9828,-0.14864,-0.02804,0.97651,-0.23125,-2.32636,9.40426
