Disk radius 0.128 m, TANGENTIAL_SIGN +1, rotations valid (det=+1)
  Sensor1 (CS 8): DEVID=0xE5 OK
  Sensor2 (CS 7): DEVID=0xE5 OK
  Sensor3 (CS 5): DEVID=0xE5 OK
  Sensor4 (CS 6): DEVID=0xE5 OK
  calibration: loaded from disk_calib.json
  orientation: measured per board

  t(s)     alpha_x   alpha_y   alpha_z   |wz|    resid
    0.00    -1.159    -1.273    -3.582   1.352   0.058
    0.02    +0.855    -3.119    -0.170   1.460   0.040
    0.05    +0.137    -2.148    +9.320   1.431   0.079
    0.07    -0.455    -0.407    +3.154   1.239   0.075
    0.09    -1.205    +4.291    -4.848   1.149   0.103
    0.11    -1.558    +0.894    -6.384   1.302   0.178
    0.13    -0.871    -0.980    -1.612   1.467   0.017
    0.15    +1.585    -3.517    +7.007   1.448   0.015
    0.18    +0.394    -2.373    +6.202   1.155   0.071
    0.20    +0.225    -0.167    +1.287   1.009   0.043
    0.22    -1.983    +3.457    -7.651   1.126   0.066
    0.24    -1.836    +1.880    -4.243   1.239   0.052
    0.26    -0.889    -0.760    +0.666   1.357   0.109
    0.29    +0.952    -3.108    +8.996   1.296   0.044
    0.31    +1.015    -1.755    +4.784   0.982   0.066
    0.33    -0.500    +0.729    -4.915   0.912   0.084
    0.35    -0.801    +1.520    -3.533   1.228   0.030
    0.37    -2.425    +1.492    -1.567   1.173   0.038
    0.40    +0.013    -0.457    +0.607   1.308   0.059
    0.42    +0.238    -2.055    +7.674   1.033   0.058
    0.44    +0.434    -2.468    +7.504   0.992   0.052
    0.46    +0.252    -0.226    -1.197   0.933   0.057
    0.48    -1.707    +1.685    -8.595   0.826   0.051
    0.51    -1.075    +0.763    -2.337   1.215   0.061
    0.53    -1.136    +0.020    -0.967   1.102   0.038
    0.55    +0.819    -0.647    +7.523   1.119   0.105
    0.57    -0.234    -2.370    +7.941   0.887   0.108
    0.59    +0.986    +0.217    +0.149   0.805   0.020
    0.61    -1.720    +0.374    -1.097   0.734   0.058
    0.64    -1.588    +1.360    -6.498   0.873   0.049
    0.66    -0.940    +0.287    -2.258   0.947   0.040
    0.68    +0.947    -1.413    -4.289   0.940   0.061
